FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,SG,Singapore,H,Undistributed,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:SG:H:5J:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542395,,,13.000954,,,72.614586
A,Annual,U,Turnover - notional amounts (daily average),E,Outright forwards,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),EUR,Euro,TRY,Turkish lira,J,Over 1 month and up to 3 months,A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:E:B:5J:A:5J:A:EUR:TRY:J:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.664132,,,44.210973
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,HU,Hungary,U,Non-financial customers,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:HU:U:5J:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,0.047619,,,0.105263,,,,,,,,,,,,,,,10.727271
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,PE,Peru,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),USD,US dollar,NZD,New Zealand dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:PE:A:5J:A:USD:NZD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002976,,,0.009386,,,
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,PE,Peru,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),ZAR,Rand,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:PE:A:5J:A:ZAR:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003333,,,0.001986,,,
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,CH,Switzerland,B,Reporting dealers,1E,Residents/Local,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:CH:B:1E:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.984176,,,299.138423
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,US,United States,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),SGD,Singapore dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:US:A:5J:A:TO1:SGD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.431818,,,97.666666
A,Annual,U,Turnover - notional amounts (daily average),R,Options,B,Foreign exchange,5J,All countries (total),H,Undistributed,5J,All countries (total),A,Total (all sectors),NOK,Norwegian krone,EUR,Euro,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:B:5J:H:5J:A:NOK:EUR:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.095238,,,25.05,,,60.263157
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,SI,Slovenia,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),EUR,Euro,CAD,Canadian dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:SI:A:5J:A:EUR:CAD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,2.611111,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),R,Options,D,Interest rate,AE,United Arab Emirates,A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:D:AE:A:1E:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.443505,,,194.758839
A,Annual,U,Turnover - notional amounts (daily average),R,Options,D,Interest rate,NL,Netherlands,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),AUD,Australian dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:D:NL:A:5J:A:TO1:AUD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053656,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),K,Overnight indexed swaps,D,Interest rate,GR,Greece,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),USD,US dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:K:D:GR:A:5J:A:USD:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.775368
A,Annual,U,Turnover - notional amounts (daily average),N,Interest rate swaps,D,Interest rate,CA,Canada,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),NOK,Norwegian krone,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:N:D:CA:A:5J:A:TO1:NOK:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,29.238095,,,,,,,,,,,,0.693303
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,US,United States,C,Other financial institutions,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),Q,Via other PvP or equivalent settlement methods,3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:US:C:5J:A:TO1:TO1:A:Q:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7176.095238
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,FI,Finland,U,Non-financial customers,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),J,Turnover to be settled with a single payment (ie non-deliverable),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:FI:U:5J:A:TO1:TO1:A:J:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.345353
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,CZ,Czech Republic,C,Other financial institutions,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),S,Non-PvP,3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:CZ:C:5J:A:TO1:TO1:A:S:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.421052
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,ZA,South Africa,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),CHF,Swiss franc,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:ZA:A:5J:A:TO1:CHF:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05436
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,HK,Hong Kong SAR,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),IDR,Rupiah,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:HK:A:5J:A:TO1:IDR:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.143315,,,106.318388
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,AE,United Arab Emirates,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),KRW,Won,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:AE:A:5J:A:TO1:KRW:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093296,,,308.978298
A,Annual,U,Turnover - notional amounts (daily average),K,Overnight indexed swaps,D,Interest rate,BR,Brazil,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),USD,US dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:K:D:BR:A:5J:A:TO1:USD:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.168421
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,5J,All countries (total),U,Non-financial customers,5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),CLS,o/w CLS eligible pairs,A,Total (all maturities),K,Turnover to be settled with two payments (ie spot and forwards),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:5J:U:5J:A:TO1:CLS:A:K:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135031.862958
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,CO,Colombia,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),JPY,Yen,EUR,Euro,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:CO:A:5J:A:JPY:EUR:A:A:3:B,,,,,,,,,,,,,,,,,,,0.75,,,0.005263,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),DEM,Deutsche mark,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:5J:A:5J:A:TO1:DEM:A:A:3:C,,,,140832.493956,,,323277.792794,,,429702.14037,,,464839.585709,,,,,,,,,,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,DK,Denmark,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),AUD,Australian dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:DK:A:5J:A:TO1:AUD:A:A:3:B,,,,,,,,,,,,,,,,0.555555,,,1.894736,,,1.166666,,,20.722222,,,,,,0.384035,,,,,,1.055555
A,Annual,U,Turnover - notional amounts (daily average),I,Currency swaps,B,Foreign exchange,RO,Romania,A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:I:B:RO:A:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,4.461886,,,,,,7.053809,,,1.305,,,
