FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),BHD,Bahraini dinar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:BHD:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.125,,,
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),BHD,Bahraini dinar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:BHD:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.125,,,
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),BRL,Brazilian real,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:BRL:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6579.207101,,,1310.273421
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),BRL,Brazilian real,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:BRL:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.413731,,,676.282824
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),BRL,Brazilian real,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:BRL:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367.843366,,,633.992302
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),CAD,Canadian dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:CAD:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45492.952884,,,22814.114296
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),CAD,Canadian dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:CAD:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20238.485655,,,20244.888773
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),CAD,Canadian dollar,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:CAD:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65731.438548,,,43059.003082
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),1E,Residents/Local,A,Total (all sectors),CHF,Swiss franc,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:1E:A:CHF:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9424.657111,,,2366.916774
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),CHF,Swiss franc,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5Z:A:CHF:TO1:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450.598481,,,2987.657247
