FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),BRL,Brazilian real,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:B:5Z:A:TO1:BRL:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.988775,,,61.513836
A,Annual,U,Turnover - notional amounts (daily average),R,Options,B,Foreign exchange,RU,Russia,B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:B:RU:B:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,31.690908,,,,,,,,,12.399741,,,54.175818,,,132.277995,,,24.073089,,,62.932549,,,
A,Annual,U,Turnover - notional amounts (daily average),R,Options,B,Foreign exchange,IE,Ireland,C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:B:IE:C:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,1.0,,,6.263157,,,10.095238,,,143.65,,,19.619047,,,,,,,,,1.190476,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),JPY,Yen,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:5J:B:5Z:A:TO1:JPY:A:A:3:C,,,,,,,,,,14253.758045,,,9383.472768,,,11024.443071,,,14493.893197,,,42366.136139,,,75134.53229,,,14524.687038,,,15048.917957,,,25033.995309,,,7595.6364
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),GBP,Pound (sterling),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:5J:A:5Z:A:GBP:TO1:A:A:3:C,,,,,,,,,,,,,5875.774196,,,17016.962454,,,53545.922446,,,87789.391241,,,110799.534823,,,49402.224841,,,103910.087392,,,122443.494741,,,70297.901765
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,AE,United Arab Emirates,U,Non-financial customers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:AE:U:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.593001,,,93.562344
A,Annual,U,Turnover - notional amounts (daily average),R,Options,D,Interest rate,SE,Sweden,C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:D:SE:C:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,17.5,,,1.578946,,,4.8,,,183.144044,,,475.75,,,131.511278,,,25.406902,,,2.885436,,,5.210526
A,Annual,U,Turnover - notional amounts (daily average),K,Overnight indexed swaps,D,Interest rate,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TRY,Turkish lira,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:K:D:5J:C:5Z:A:TO1:TRY:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,,,56.364268
A,Annual,U,Turnover - notional amounts (daily average),N,Interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),BRL,Brazilian real,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:N:D:5J:A:5Z:A:TO1:BRL:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,1672.823408,,,1022.937532,,,9958.255737,,,3476.576138,,,4841.227366,,,829.059535
A,Annual,U,Turnover - notional amounts (daily average),T,Options bought,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),MXN,Mexican peso,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),A,Gross - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:T:B:5J:A:5Z:A:MXN:TO1:A:A:3:A,,,,,,,,,,,,,5.2,,,58.418421,,,387.860384,,,1662.682031,,,988.870501,,,2480.487868,,,2748.181533,,,,,,
